"Web Site","Web Site"
"Customer Group","Customer Group"
"Customer Lifetime Sales >=","Customer Lifetime Sales >="
"Transactions","Transactions"
"Settings","Settings"
"Readme","Readme"
"Get Support","Get Support"
"Back","Back"
"Reset","Reset"
"Save Transaction","Save Transaction"
"Customers","Customers"
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the transaction.","Something went wrong while saving the transaction."
"New Transaction","New Transaction"
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved the transactions.","You saved the transactions."
"Please select customers or confirm that they belong to the website of the current transaction","Please select customers or confirm that they belong to the website of the current transaction"
"#%1","#%1"
"""Customer Lifetime Sales"" values can't be the same for one group","""Customer Lifetime Sales"" values can't be the same for one group"
"ALL GROUPS","ALL GROUPS"
"In X days","In X days"
"On exact date","On exact date"
"Action","Action"
"Delete","Delete"
"Transactions History","Transactions History"
"Transaction ID","Transaction ID"
"Comment","Comment"
"Transaction Date","Transaction Date"
"You have no transactions.","You have no transactions."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
"Page","Page"
"Previous","Previous"
"You're currently reading page","You're currently reading page"
"Next","Next"
"Show","Show"
"per page","per page"
"Your Store Credit: %1","Your Store Credit: %1"
"ID","ID"
"Customer Email","Customer Email"
"Phone","Phone"
"ZIP","ZIP"
"Country","Country"
"State/Province","State/Province"
"Customer Since","Customer Since"
"Confirmed email","Confirmed email"
"Account Created in","Account Created in"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Date of Birth","Date of Birth"
"Tax VAT Number","Tax VAT Number"
"Gender","Gender"
"Street Address","Street Address"
"City","City"
"Fax","Fax"
"VAT Number","VAT Number"
"Company","Company"
"Billing Firstname","Billing Firstname"
"Billing Lastname","Billing Lastname"
"Account Lock","Account Lock"
"Transaction","Transaction"
"Website","Website"
"You can use negative value to decrease Store Credit balance.","You can use negative value to decrease Store Credit balance."
"Comment (visible for customer)","Comment (visible for customer)"
"Comment (visible for admin only)","Comment (visible for admin only)"
"Add Customer","Add Customer"
"Cancel","Cancel"
"Add Selected Customers","Add Selected Customers"
"Add Customers","Add Customers"
"Customer","Customer"
"Add New Transaction","Add New Transaction"
"customer_name","customer_name"
"customer_email","customer_email"
"Comment To Customer","Comment To Customer"
"Comment To Admin","Comment To Admin"
"Balance","Balance"
"from","from"
"From","From"
"MM/dd/YYYY","MM/dd/YYYY
"to","to"
"To","To"
"Balance Change","Balance Change"
"No customers added. Please add customers.","No customers added. Please add customers."
"Earn Rates","Earn Rates"
"Spend Rates","Spend Rates"
"Store Credit &amp; Refund by Aheadworks","Store Credit &amp; Refund by Aheadworks"
"Store Credit &amp; Refund","Store Credit &amp; Refund"
"comment_to_customer","comment_to_customer"
"Balance update","Balance update"
"Spent Store Credit on order %order_id","Spent Store Credit on order %order_id"
"Your current balance is <strong>%1</strong>","Your current balance is <strong>%1</strong>"
"Store Credit Adjustment","Store Credit Adjustment"
"Use Store Credit","Use Store Credit"
"Remove Store Credit","Remove Store Credit"
"Store Credit","Store Credit"
"Store Credit were successfully applied","Store Credit were successfully applied"
"Store Credit were successfully removed","Store Credit were successfully removed"
"AW Store Credit,"AW Store Credit"
"Aheadworks Store Credit","Aheadworks Store Credit"
"Your Store Credit Balance","Your Store Credit Balance"
"<strong>%1</strong> - Price discounted by your Store Credit.","<strong>%1</strong> - Price discounted by your Store Credit."
"Your Store Credit balance is <strong>%1</strong>. You can apply Store Credit on checkout.","Your Store Credit balance is <strong>%1</strong>. You can apply Store Credit on checkout."
"Your Store Credit balance is <strong>%1</strong>. You can purchase this product <strong>for FREE.</strong> You can apply Store Credit on checkout.","Your Store Credit balance is <strong>%1</strong>. You can purchase this product <strong>for FREE.</strong> You can apply Store Credit on checkout."
"Requested Store Credit summary doesn't exist","Requested Store Credit summary doesn't exist"
"Store Credit balance adjustment","Store Credit balance adjustment"
"Base Currency","Base Currency"
"Icons Only","Icons Only"
"Icons with Counter (vertical)","Icons with Counter (vertical)"
"Icons with Counter (horizontal)","Icons with Counter (horizontal)"
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"The are no products that allow to use discounts in the cart","The are no products that allow to use discounts in the cart"
"No Store Credit to be used","No Store Credit to be used"
"Could not apply Store Credit","Could not apply Store Credit"
"Could not remove Store Credit","Could not remove Store Credit"
"Requested transaction doesn't exist","Requested transaction doesn't exist"
"It can be redeemed for <strong>%1</strong> at checkout","It can be redeemed for <strong>%1</strong> at checkout"
"Please login for use Store Credit","Please login for use Store Credit"
"Use Store Credit","Use Store Credit"
"Remove Store Credit","Remove Store Credit"
"Store Credit were successfully applied.","Store Credit were successfully applied."
"Store Credit were successfully removed.","Store Credit were successfully removed."
"Available: ","Available: "
"Applied: ","Applied: "
"Save Transactions","Save Transactions"
"Aheadworks Extensions","Aheadworks Extensions"
"Storefront","Storefront"
"Store Credit Balance in Top Link","Store Credit Balance in Top Link"
"Display prices discounted by available Store Credit","Display prices discounted by available Store Credit"
"Go to Transactions","Go to Transactions"
"Customer Name","Customer Name"
"Lifetime Sales","Lifetime Sales"
"Current Customer Balance","Current Customer Balance"
"Total Store Credit Earned","Total Store Credit Earned"
"Total Store Credit Spent","Total Store Credit Spent"
"Refund to Store Credit","Refund to Store Credit"
"Returned to Store Credit","Returned to Store Credit"
"Reimbursed spent Store Credit from order %order_id, Credit Memo %creditmemo_id","Reimbursed spent Store Credit from order %order_id, Credit Memo %creditmemo_id"
"Refund to Store Credit from order %order_id, Credit Memo %creditmemo_id","Refund to Store Credit from order %order_id, Credit Memo %creditmemo_id"
"Reimbursed spent Store Credit","Reimbursed spent Store Credit"
"Reimbursed spent Store Credit from cancel order %order_id","Reimbursed spent Store Credit from cancel order %order_id"
"Maximum Store Credit amount allowed to refund is: %1","Maximum Store Credit amount allowed to refund is: %1"
"You are not using Store Credit in your shopping cart.","You are not using Store Credit in your shopping cart."
"Email Notifications","Email Notifications"
"Sender","Sender"
"Balance Update Template","Balance Update Template"
"Store Credit Balance Notifications Sent When","Store Credit Balance Notifications Sent When"
"Balance adjusted by admin","Balance adjusted by admin"
"Order canceled","Order canceled"
"Refund by Store Credit","Refund by Store Credit"
"Reimburse of spent Store Credit","Reimburse of spent Store Credit"
"Store Credit used in order","Store Credit used in order"
"Your Store Credit balance has been updated","Your Store Credit balance has been updated"
"Something went wrong while saving your Store Credit subscription.","Something went wrong while saving your Store Credit subscription."
"Your Store Credit subscription settings were updated.","Your Store Credit subscription settings were updated."
"Something went wrong while saving your Store Credit subscription.","Something went wrong while saving your Store Credit subscription."
"Subscribed","Subscribed"
"Not Subscribed","Not Subscribed"
"Unsubscribed","Unsubscribed"
"Subscribe Customers to Store Credit Notifications by Default","Subscribe Customers to Store Credit Notifications by Default"
"Balance Update Notifications","Balance Update Notifications"
"Yes","Yes"
"No","No"
"Balance adjustment value","Balance adjustment value"
"General","General"
"Refund to Store Credit Automatically","Refund to Store Credit Automatically"
"Hide the top-link if Store Credit balance is empty","Hide the top-link if Store Credit balance is empty"
"Store Credit Balance","Store Credit Balance"
"Edit Email Preferences","Edit Email Preferences"
"Customer Notified","Customer Notified"
"Store Credit & Refund","Store Credit & Refund"
"Allow applying Store Credit on Tax","Allow applying Store Credit on Tax"
"Allow applying Store Credit on Shipping","Allow applying Store Credit on Shipping"
"Created By","Created By"
"Store Credit & Refund by Aheadworks","Store Credit & Refund by Aheadworks"
"Type","Type"
"(Cancel)","(Cancel)"